lead_id,full_name,age,gender,occupation,annual_income,city,existing_policy,product_interested,website_visits,email_opens,calls_answered,form_submitted,last_interaction_days,lead_source,email,contact_number,conversion_target,income_to_premium_ratio,claim_frequency,is_fraud
LD-1001,Test User 1,62,Other,Engineer,43359.73,Phoenix,False,Auto,8,0,1,True,8,Paid Search,user1@example.com,555-01001,1,30.94,1.48,0
LD-1002,Test User 2,60,F,Engineer,33184.32,Los Angeles,False,Life,6,4,5,True,21,Paid Search,user2@example.com,555-01002,1,96.15,0.9,0
LD-1003,Test User 3,43,Other,Engineer,42265.23,Houston,True,Life,12,10,0,False,12,Paid Search,user3@example.com,555-01003,0,73.41,1.61,1
LD-1004,Test User 4,24,Other,Doctor,109351.6,Los Angeles,False,Life,9,3,0,False,28,Organic,user4@example.com,555-01004,1,64.82,0.56,0
LD-1005,Test User 5,32,Other,Teacher,94096.79,Chicago,True,Home,7,0,1,False,15,Referral,user5@example.com,555-01005,0,34.1,1.28,0
LD-1006,Test User 6,35,M,Doctor,139576.33,Los Angeles,True,Life,18,9,5,False,11,Referral,user6@example.com,555-01006,1,42.58,1.77,1
LD-1007,Test User 7,30,M,Sales,91143.16,Houston,False,Life,2,8,0,True,28,Organic,user7@example.com,555-01007,0,71.35,1.58,1
LD-1008,Test User 8,56,Other,Doctor,120105.34,Phoenix,True,Auto,20,10,2,False,4,Paid Search,user8@example.com,555-01008,1,23.76,0.01,0
LD-1009,Test User 9,70,F,Teacher,49385.88,New York,True,Auto,16,1,0,False,20,Organic,user9@example.com,555-01009,1,98.02,1.86,0
LD-1010,Test User 10,56,Other,Sales,121900.13,Los Angeles,True,Life,4,6,5,False,16,Referral,user10@example.com,555-01010,1,90.97,1.06,0
LD-1011,Test User 11,50,M,Engineer,44520.5,New York,True,Auto,7,0,0,False,11,Organic,user11@example.com,555-01011,0,56.27,1.18,0
LD-1012,Test User 12,39,M,Sales,110277.33,Houston,True,Auto,6,1,4,False,5,Social Media,user12@example.com,555-01012,0,48.12,1.15,0
LD-1013,Test User 13,51,F,Engineer,133660.41,Los Angeles,True,Home,1,8,5,False,21,Paid Search,user13@example.com,555-01013,1,47.97,0.81,0
LD-1014,Test User 14,39,Other,Engineer,85515.37,New York,True,Home,2,6,3,False,26,Referral,user14@example.com,555-01014,0,29.24,0.1,0
LD-1015,Test User 15,47,F,Student,138293.14,Houston,True,Home,5,4,3,True,1,Organic,user15@example.com,555-01015,1,62.13,1.57,1
LD-1016,Test User 16,56,Other,Engineer,37314.91,Los Angeles,True,Auto,10,10,0,True,2,Referral,user16@example.com,555-01016,0,20.79,1.71,1
LD-1017,Test User 17,58,F,Doctor,59545.84,Los Angeles,False,Home,19,4,0,False,20,Paid Search,user17@example.com,555-01017,1,70.45,1.13,0
LD-1018,Test User 18,41,Other,Teacher,84866.95,Phoenix,False,Home,2,5,0,True,15,Paid Search,user18@example.com,555-01018,0,43.26,0.2,0
LD-1019,Test User 19,32,M,Student,82582.15,Chicago,True,Home,17,4,5,True,10,Organic,user19@example.com,555-01019,0,76.82,1.31,0
LD-1020,Test User 20,31,F,Engineer,62681.79,New York,False,Life,19,0,1,True,23,Social Media,user20@example.com,555-01020,1,79.4,1.71,1
LD-1021,Test User 21,62,M,Teacher,147575.75,Phoenix,True,Life,5,9,5,True,15,Referral,user21@example.com,555-01021,1,21.47,0.02,0
LD-1022,Test User 22,41,Other,Sales,73758.18,Phoenix,True,Home,1,2,2,True,7,Referral,user22@example.com,555-01022,0,12.23,0.71,0
LD-1023,Test User 23,69,Other,Engineer,140938.48,Houston,True,Health,13,3,5,True,28,Referral,user23@example.com,555-01023,1,41.47,0.32,0
LD-1024,Test User 24,74,M,Doctor,125441.46,Chicago,False,Life,7,0,1,True,1,Social Media,user24@example.com,555-01024,1,26.07,0.56,0
LD-1025,Test User 25,38,Other,Engineer,34590.86,Houston,True,Life,19,0,3,False,12,Organic,user25@example.com,555-01025,1,56.79,1.21,0
LD-1026,Test User 26,73,F,Engineer,94614.24,Chicago,False,Health,6,5,2,False,14,Social Media,user26@example.com,555-01026,0,59.9,0.66,0
LD-1027,Test User 27,34,Other,Engineer,80453.56,Chicago,False,Home,12,6,5,False,24,Referral,user27@example.com,555-01027,1,49.76,0.6,0
LD-1028,Test User 28,65,Other,Doctor,55644.17,New York,True,Life,15,3,5,True,6,Paid Search,user28@example.com,555-01028,1,12.2,1.33,0
LD-1029,Test User 29,37,Other,Sales,148072.32,Houston,False,Home,19,2,0,True,15,Organic,user29@example.com,555-01029,1,80.06,0.39,0
LD-1030,Test User 30,36,M,Sales,51106.4,Phoenix,False,Health,16,9,3,False,2,Referral,user30@example.com,555-01030,1,90.75,0.24,0
LD-1031,Test User 31,69,Other,Teacher,133379.39,Chicago,False,Auto,14,4,2,True,25,Social Media,user31@example.com,555-01031,0,40.23,1.53,1
LD-1032,Test User 32,56,F,Doctor,39669.32,Phoenix,False,Health,4,0,1,True,13,Referral,user32@example.com,555-01032,0,45.05,0.13,0
