FirstName,UserID,Age,Job,Salary,Location,HasPolicy,Products,Visits,Phone,Target
Olivia,U6062,31,Doctor,62351.3292139636,Berlin,1,1,49,555-8257,0
Olivia,U3560,,Artist,44795.629913382814,Berlin,1,1,43,555-8101,1
Emma,U5551,44,Artist,86033.46298383336,Berlin,1,3,86,555-8132,1
Liam,U8370,,Engineer,86213.6805223845,Paris,0,3,34,555-6979,1
William,U5555,55,Engineer,148270.04757641794,Tokyo,0,3,5,555-6444,0
William,U6502,44,Engineer,52004.23671738756,London,1,1,95,555-8140,1
Noah,U1782,24,Manager,139902.63224894807,New York,0,3,18,555-9595,0
Olivia,U8475,33,Doctor,40376.73471939107,Paris,0,1,61,555-1537,0
Ava,U2535,,Engineer,52209.022829978996,Tokyo,0,2,15,555-4722,1
William,U8151,49,Engineer,126631.34463350257,New York,1,2,10,555-7796,0
Ava,U1390,,Teacher,101452.93821480995,New York,0,2,17,555-1089,1
Emma,U7494,,Engineer,64593.91578210886,Paris,1,2,99,555-8025,0
Olivia,U4308,,Teacher,61062.397860797806,London,1,2,61,555-9733,1
Noah,U7823,30,Doctor,89613.54312431379,Tokyo,0,1,60,555-2670,0
Noah,U9246,,Engineer,71590.18863002241,London,1,2,4,555-3922,1
Olivia,U1154,34,Artist,114846.76789716694,New York,1,3,70,555-7328,1
Ava,U9752,49,Engineer,102749.01433348948,Tokyo,1,2,70,555-4854,0
Olivia,U5973,49,Engineer,48558.77517247669,Paris,1,1,35,555-3547,0
William,U3738,,Manager,129606.86677543608,New York,0,2,37,555-9555,0
William,U1973,,Doctor,111953.23164652793,Tokyo,0,2,14,555-3163,1
Olivia,U5506,,Manager,139146.311809366,Tokyo,1,1,61,555-4846,1
Liam,U5055,,Manager,120611.19262801351,Paris,1,2,3,555-1063,0
Olivia,U5563,46,Manager,55142.340573531255,London,0,1,30,555-8154,1
Noah,U4250,48,Manager,137458.0929394819,New York,1,3,39,555-8395,1
William,U2447,,Engineer,128461.77408018886,London,0,3,0,555-4324,1
Olivia,U2263,47,Doctor,128842.4679137102,Tokyo,1,3,60,555-1076,1
Ava,U4024,60,Artist,114908.8865310755,London,0,3,23,555-8892,1
Ava,U1221,24,Artist,47572.03992894757,New York,1,2,6,555-6115,1
William,U4620,50,Manager,138967.47379377176,New York,0,1,42,555-6157,1
Olivia,U5496,,Artist,57047.676905622204,New York,0,1,9,555-7454,0
Ava,U6371,,Doctor,136968.67439673416,London,0,1,76,555-6399,1
Noah,U7703,23,Teacher,57272.034514410276,Berlin,1,2,100,555-3106,1
Liam,U5489,,Artist,126673.63919031464,New York,1,2,68,555-3907,1
Emma,U6661,,Doctor,76195.11723496119,Tokyo,1,2,4,555-2002,0
Emma,U3383,34,Teacher,118241.60096923736,London,0,2,95,555-3249,0
William,U3589,57,Doctor,81364.98598756583,Tokyo,0,1,27,555-8707,1
Emma,U7122,,Engineer,112287.33402161398,London,1,3,82,555-1995,1
Noah,U2589,,Manager,115081.4463004634,Berlin,1,3,18,555-2337,1
Ava,U9657,,Engineer,140744.6726717188,Paris,1,3,44,555-8913,0
Olivia,U4771,22,Teacher,98256.32682569663,London,1,1,42,555-9526,1
Liam,U2831,37,Engineer,43129.10357769315,Tokyo,1,2,67,555-4426,0
Ava,U1427,54,Engineer,64169.58966594366,New York,0,3,6,555-9959,1
Olivia,U4232,56,Teacher,96401.58361559684,Berlin,0,2,7,555-9278,1
Noah,U8226,54,Engineer,53771.9442401399,New York,0,3,37,555-3998,1
Emma,U8159,56,Doctor,73327.0660671036,Tokyo,1,2,22,555-6939,0
Emma,U6795,,Manager,100879.34777574998,Tokyo,0,2,15,555-9440,1
Olivia,U9741,31,Manager,89562.12465293042,London,0,3,59,555-8434,1
William,U8577,46,Manager,111531.15781183357,Tokyo,1,1,41,555-7032,0
Emma,U9153,37,Doctor,59072.413913556426,Tokyo,0,3,8,555-6854,1
Ava,U7750,,Teacher,79061.67274295448,New York,1,2,15,555-5317,0
