customer_id,name,age,policy_type,premium_amount,renewal_history,claim_history,complaint_count,support_tickets,feedback,email,contact_number,churn_target,income_to_premium_ratio,claim_frequency,is_fraud
CUSTX-2000,Large Customer User 0,82,Life,2236.95,5,2,3,9,Poor support,large_cust_0@example.com,555-02001,1,19.79,0.4,0
CUSTX-2001,Large Customer User 1,35,Home,1635.76,3,5,0,7,Too expensive,large_cust_1@example.com,555-02002,0,26.63,1.67,1
CUSTX-2002,Large Customer User 2,64,Auto,2518.18,6,2,3,3,Great service,large_cust_2@example.com,555-02003,0,21.1,0.33,0
CUSTX-2003,Large Customer User 3,36,Auto,856.0,10,0,3,3,Too expensive,large_cust_3@example.com,555-02004,0,13.9,0.0,0
CUSTX-2004,Large Customer User 4,44,Auto,1047.36,5,1,2,2,Too expensive,large_cust_4@example.com,555-02005,0,42.93,0.2,0
CUSTX-2005,Large Customer User 5,34,Home,552.48,6,2,5,2,Average,large_cust_5@example.com,555-02006,0,25.53,0.33,0
CUSTX-2006,Large Customer User 6,69,Auto,2523.72,8,3,5,2,Great service,large_cust_6@example.com,555-02007,0,11.5,0.38,0
CUSTX-2007,Large Customer User 7,38,Home,2487.25,6,3,1,8,Great service,large_cust_7@example.com,555-02008,0,39.34,0.5,0
CUSTX-2008,Large Customer User 8,46,Home,2636.09,5,2,2,2,Will renew,large_cust_8@example.com,555-02009,0,48.58,0.4,0
CUSTX-2009,Large Customer User 9,84,Life,1023.09,10,3,0,7,Poor support,large_cust_9@example.com,555-02010,0,28.35,0.3,0
CUSTX-2010,Large Customer User 10,44,Health,1304.56,7,2,2,8,Will renew,large_cust_10@example.com,555-02011,0,34.24,0.29,0
CUSTX-2011,Large Customer User 11,48,Home,1048.82,3,3,1,7,Average,large_cust_11@example.com,555-02012,1,16.45,1.0,0
CUSTX-2012,Large Customer User 12,32,Health,835.83,7,0,0,4,Will renew,large_cust_12@example.com,555-02013,0,32.95,0.0,0
CUSTX-2013,Large Customer User 13,76,Auto,1627.88,5,3,3,6,Too expensive,large_cust_13@example.com,555-02014,1,24.88,0.6,0
CUSTX-2014,Large Customer User 14,55,Auto,2113.39,4,5,2,1,Average,large_cust_14@example.com,555-02015,0,46.7,1.25,0
CUSTX-2015,Large Customer User 15,34,Life,796.47,8,2,2,0,Average,large_cust_15@example.com,555-02016,0,38.53,0.25,0
CUSTX-2016,Large Customer User 16,57,Life,976.61,8,2,4,2,Average,large_cust_16@example.com,555-02017,1,40.24,0.25,0
CUSTX-2017,Large Customer User 17,73,Health,2864.54,0,1,4,10,Too expensive,large_cust_17@example.com,555-02018,1,15.21,1.0,0
CUSTX-2018,Large Customer User 18,48,Life,1686.1,8,3,4,9,Great service,large_cust_18@example.com,555-02019,0,19.09,0.38,0
CUSTX-2019,Large Customer User 19,46,Life,1571.98,3,0,5,6,Too expensive,large_cust_19@example.com,555-02020,1,30.99,0.0,0
CUSTX-2020,Large Customer User 20,38,Home,1263.93,7,2,5,0,Poor support,large_cust_20@example.com,555-02021,0,24.16,0.29,0
CUSTX-2021,Large Customer User 21,73,Home,2407.1,4,0,5,8,Too expensive,large_cust_21@example.com,555-02022,1,48.98,0.0,0
