lead_id,full_name,age,gender,occupation,annual_income,city,existing_policy,product_interested,website_visits,email_opens,calls_answered,form_submitted,last_interaction_days,lead_source,email,contact_number,conversion_target,income_to_premium_ratio,claim_frequency,is_fraud
LDX-1000,Large Lead User 0,62,Other,Engineer,43359.73,Phoenix,False,Auto,8,0,1,True,8,Paid Search,large_lead_0@example.com,555-01001,1,30.94,1.48,0
LDX-1001,Large Lead User 1,60,F,Engineer,33184.32,Los Angeles,False,Life,6,4,5,True,21,Paid Search,large_lead_1@example.com,555-01002,1,96.15,0.9,0
LDX-1002,Large Lead User 2,43,Other,Engineer,42265.23,Houston,True,Life,12,10,0,False,12,Paid Search,large_lead_2@example.com,555-01003,0,73.41,1.61,1
LDX-1003,Large Lead User 3,24,Other,Doctor,109351.6,Los Angeles,False,Life,9,3,0,False,28,Organic,large_lead_3@example.com,555-01004,1,64.82,0.56,0
LDX-1004,Large Lead User 4,32,Other,Teacher,94096.79,Chicago,True,Home,7,0,1,False,15,Referral,large_lead_4@example.com,555-01005,0,34.1,1.28,0
LDX-1005,Large Lead User 5,35,M,Doctor,139576.33,Los Angeles,True,Life,18,9,5,False,11,Referral,large_lead_5@example.com,555-01006,1,42.58,1.77,1
LDX-1006,Large Lead User 6,30,M,Sales,91143.16,Houston,False,Life,2,8,0,True,28,Organic,large_lead_6@example.com,555-01007,0,71.35,1.58,1
LDX-1007,Large Lead User 7,56,Other,Doctor,120105.34,Phoenix,True,Auto,20,10,2,False,4,Paid Search,large_lead_7@example.com,555-01008,1,23.76,0.01,0
LDX-1008,Large Lead User 8,70,F,Teacher,49385.88,New York,True,Auto,16,1,0,False,20,Organic,large_lead_8@example.com,555-01009,1,98.02,1.86,0
LDX-1009,Large Lead User 9,56,Other,Sales,121900.13,Los Angeles,True,Life,4,6,5,False,16,Referral,large_lead_9@example.com,555-01010,1,90.97,1.06,0
LDX-1010,Large Lead User 10,50,M,Engineer,44520.5,New York,True,Auto,7,0,0,False,11,Organic,large_lead_10@example.com,555-01011,0,56.27,1.18,0
LDX-1011,Large Lead User 11,39,M,Sales,110277.33,Houston,True,Auto,6,1,4,False,5,Social Media,large_lead_11@example.com,555-01012,0,48.12,1.15,0
LDX-1012,Large Lead User 12,51,F,Engineer,133660.41,Los Angeles,True,Home,1,8,5,False,21,Paid Search,large_lead_12@example.com,555-01013,1,47.97,0.81,0
LDX-1013,Large Lead User 13,39,Other,Engineer,85515.37,New York,True,Home,2,6,3,False,26,Referral,large_lead_13@example.com,555-01014,0,29.24,0.1,0
